Name,Slug,Current Price,Current Sale Price,Link,Website Price,Website Sale Price
Albanju,albanju,19.95,,https://nnaud.io/product/albanju/,19.95,14.95
Alice Cthulhu,alice-cthulhu,19.95,,https://nnaud.io/product/alice-cthulhu/,19.95,
Apache Flute,apache-flute,19.95,,https://nnaud.io/product/apache-flute/,19.95,14.95
Apache MIDI,apache-free-midi,19.95,,,,
Bakers Delight MIDI,bakers-delight-midi,24.95,,https://nnaud.io/product/bakers-delight/,,
Bakers Dozen,bakers-dozen,24.95,,https://nnaud.io/product/bakers-dozen/,24.95,
Blaque,blaque,24.95,,https://nnaud.io/product/blaque/,24.95,19.95
Blossom MIDI,blossom-midi,24.95,,https://nnaud.io/product/blossom-midi/,24.95,
Broken MIDI,broken-midi,24.95,,https://nnaud.io/product/broken-midi/,24.95,
Cowboy Harp,cowboy-harp-free-jaw-harp-plugin,19.95,,https://nnaud.io/product/cowboy-harp-free-jaw-harp-plugin/,19.95,0
Cryptic Tales MIDI,cryptic-tales-midi,24.95,,https://nnaud.io/product/cryptic-tales-midi/,24.95,
Crystal Ball,crystal-ball-magic-multi-effect,74.95,,https://nnaud.io/product/crystal-ball-magic-multi-effect/,74.95,49.95
Cthulhu Godz 1,cthulhu-godz-1,19.95,,https://nnaud.io/product/cthulhu-godz-1/,19.95,
Cthulhu Godz 2,cthulhu-godz-2,19.95,,https://nnaud.io/product/cthulhu-godz-2/,19.95,
Curio,curio-texture-generator,34.95,,https://nnaud.io/product/curio-texture-generator/,34.95,29.95
Curves EQ,curves-eq,19.95,,https://nnaud.io/product/curves-eq/,19.95,14.95
Demented Wisdom MIDI,demented-wisdom-midi,24.95,,https://nnaud.io/product/demented-wisdom-midi/,24.95,
Digital Echoes Delay,digital-echoes-delay,19.95,,https://nnaud.io/product/digital-echoes/,,
DigitalDreamscape,digitaldreamscape-quad-rompler,99.95,69.95,https://nnaud.io/product/digitaldreamscape-quad-rompler/,99.95,69.95
Element Cthulhu,element-cthulhu,19.95,,https://nnaud.io/product/element-cthulhu/,19.95,
Enchanted Melodies MIDI Pack Bundle,enchante_melodies_bundle,74.85,,https://nnaud.io/product/enchante_melodies_bundle/,74.85,49
Evanescent Baby Grand Piano,evanescent-baby-grand-piano,19.95,,https://nnaud.io/product/evanescent-baby-grand-piano/,19.95,14.95
Flower Cthulhu,flower-cthulhu,19.95,,https://nnaud.io/product/flower-cthulhu/,19.95,
Freelay,freelay-free-delay-module-plugin,19.95,,https://nnaud.io/product/freelay-free-delay-module-plugin/,19.95,0
FreeQ,freeq-free-eq-module-plugin,19.95,,https://nnaud.io/product/freeq-free-eq-module-plugin/,19.95,0
Freeverb,freeverb-free-reverb-module-plugin,19.95,,https://nnaud.io/product/freeverb-free-reverb-module-plugin/,19.95,0
Fruit Salad MIDI,fruit-salad-midi,24.95,,https://nnaud.io/product/fruit-salad-midi/,24.95,
Game Boi,game-boi-retro-sounds-free-plugin,24.95,,https://nnaud.io/product/game-boi-retro-sounds-free-plugin/,24.95,0
Go To Work,go-to-work-modern-song-constructions,24.95,,https://nnaud.io/product/go-to-work-modern-song-constructions/,24.95,
Life & Death MIDI,life-death-midi,24.95,,https://nnaud.io/product/life-death-midi/,24.95,
Lofi Jamz,lofi-jamz,24.95,,,,
Mai Tai MIDI,mai-tai-midi,24.95,,https://nnaud.io/product/mai-tai-midi/,24.95,
Mandolele Mandolin & Ukulele,mandolele-mandolin-ukulele,19.95,,https://nnaud.io/product/mandolele-mandolin-ukulele/,19.95,14.95
Mesosphere,mesosphere,59.95,,https://nnaud.io/product/mesosphere/,59.95,39.95
MIDI Library 1,midi-library-1,19.95,,https://nnaud.io/product/midi-library-1/,19.95,
MIDI Library 2,midi-library-2,19.95,,https://nnaud.io/product/midi-library-2/,19.95,
MIDI Library 3,midi-library-3,19.95,,https://nnaud.io/product/midi-library-3/,19.95,
MIDI Library 4,midi-library-4,19.95,,https://nnaud.io/product/midi-library-4/,19.95,
MIDI Nerds,midi-nerds-free-midi,19.95,,https://nnaud.io/product/midi-nerds-free-midi/,19.95,0
Modern Cthulhu 1,modern-cthulhu-1,19.95,,https://nnaud.io/product/modern-cthulhu-1/,19.95,
Modern Cthulhu 2,modern-cthulhu-2,19.95,,https://nnaud.io/product/modern-cthulhu-2/,19.95,
Mutahad Sample Library,mutahad-sample-library,24.95,,https://nnaud.io/product/mutahad-sample-library/,24.95,
Natura,natura,19.95,,https://nnaud.io/product/natura/,19.95,14.95
Noker,noker,19.95,,https://nnaud.io/product/noker/,19.95,14.95
Numb,numb,24.95,,https://nnaud.io/product/numb/,24.95,19.95
Obscura,obscura-tortured-orchestral-box,49.95,,https://nnaud.io/product/obscura-tortured-orchestral-box/,49.95,34.95
Obscura + Royal Family Bundle,obscura-royal-family-bundle-black-friday,74.9,,https://nnaud.io/product/obscura-royal-family-bundle-black-friday/,74.9,19.95
Ooze MIDI,ooze-midi,24.95,,https://nnaud.io/product/ooze-midi/,24.95,
Perc Gadget,perc-gadget,34.95,,https://nnaud.io/product/perc-gadget/,34.95,29.95
Primal Cthulhu,primal-cthulhu,19.95,,https://nnaud.io/product/primal-cthulhu/,19.95,
Prodigious,prodigious,49.95,,https://nnaud.io/product/prodigious/,49.95,34.95
Quoir,quoir,19.95,,https://nnaud.io/product/quoir/,19.95,14.95
Rabbit Hole MIDI,rabbit-hole-free-midi,19.95,,https://nnaud.io/product/rabbit-hole/,,
Reflection Cthulhu,reflection-cthulhu,19.95,,,,
Reiya,reiya,24.95,,https://nnaud.io/product/reiya/,24.95,19.95
Ride Away,ride-away-modern-song-constructions,24.95,,https://nnaud.io/product/ride-away-modern-song-constructions/,24.95,
Rompl Workstation,rompl-workstation,99.95,,https://nnaud.io/product/rompl-workstation/,99.95,69.95
Royal Family MIDI,royal-family-midi,24.95,,https://nnaud.io/product/royal-family-midi/,24.95,
So Far Gone MIDI,so-far-gone-midi,24.95,,https://nnaud.io/product/so-far-gone/,,
Sterfreeo,sterfreeo-free-stereo-module-plugin,19.95,,https://nnaud.io/product/sterfreeo-free-stereo-module-plugin/,19.95,0
Strange Tingz,strange-tingz-free-80s-plugin,19.95,,https://nnaud.io/product/strange-tingz-free-80s-plugin/,19.95,0
SubFlux,subflux-bass-module,49.95,,https://nnaud.io/product/subflux-bass-module/,49.95,39.95
Sun Goes Down MIDI,sun-goes-down-midi,24.95,,https://nnaud.io/product/sun-goes-down-midi/,24.95,
Swiper MIDI,swiper-midi-free,19.95,,https://nnaud.io/product/swiper-midi-free/,19.95,0
Tactures,tactures,59.95,,https://nnaud.io/product/tactures/,59.95,39.95
Tetrad Guitars,tetrad-guitars,44.95,,https://nnaud.io/product/free-tetrad-guitars-plugin/,15,
Tetrad Keys,tetrad-keys,44.95,,https://nnaud.io/product/free-tetrad-keys-plugin/,15,
Tetrad Winds,tetrad-winds,44.95,,,,
The Code,the-code-modern-song-constructions,24.95,,https://nnaud.io/product/the-code-modern-song-constructions/,24.95,
Time Zones,time-zones-delay,29,,https://nnaud.io/product/time-zones/,,
Time Zones MIDI,time-zones-midi,24.95,,,,
Toybox Retro,toybox-retro,19.95,,https://nnaud.io/product/toybox-retro/,,
Trapsoul MIDI,trapsoul-midi,24.95,,https://nnaud.io/product/trapsoul-midi/,24.95,
Ultimate Drums & Percs 1,ultimate-drums-percs-1,14.95,,https://nnaud.io/product/ultimate-drums-percs-1/,14.95,
Ultimate Drums & Percs 2,ultimate-drums-percs-2,14.95,,https://nnaud.io/product/ultimate-drums-percs-2/,14.95,
Ultimate MIDI Collection 2,ultimate-midi-collection-2,24.95,,https://nnaud.io/product/ultimate-midi-collection-2/,24.95,
UMC6 MIDI,umc6-midi,24.95,,https://nnaud.io/product/umc6-midi/,24.95,
Weaknd Cthulhu,weaknd-cthulhu,19.95,,https://nnaud.io/product/weaknd-cthulhu/,19.95,
Yonkers Cthulhu,yonkers-cthulhu,19.95,,,,
